,publish_date,headline_text
1186077,20200102,10 people injured in fitzroy river boat crash
1186078,20200102,2019 was australias hottest and driest year on record
1186079,20200102,a family film their return to lake conjola
1186080,20200102,angus taylor investigation referred to afp
1186081,20200102,anthony albanese continues to call for action
1186082,20200102,australian expats face tax slug cgt main residence exemption
1186083,20200102,australias only underground hospital was never used
1186084,20200102,aviation fatality rate 2019 ethiopian airlines crash
1186085,20200102,blake walton stayed to defend his property and filmed
1186086,20200102,brave malua locals saved town from nsw fire
1186087,20200102,bushfire emergency at glenlusk near hobart
1186088,20200102,bushfire relief reaches mallacoota on naval ship
1186089,20200102,bushfire threatening remote motel on eyre highway
1186090,20200102,bushfires 17 people missing east gippsland victoria
1186091,20200102,bushfires could break containment lines amid heat cfs warns
1186092,20200102,bushfires victoria mallacoota east gippsland thursday
1186093,20200102,bushfires victoria state of disaster declared
1186094,20200102,cfa chief officer says focus is to rescue people in mallacoota
1186095,20200102,china social credit system operational by 2020
1186096,20200102,david stern former nba basketball commissioner dies aged 77
1186097,20200102,dozens of residents are queuing to get into
1186098,20200102,dramatic vision of flooding in indonesia
1186099,20200102,drink driver arrested in adelaide after nine people found in car
1186100,20200102,fears bushfires in north east victoria could merge
1186101,20200102,fire apes monkeys among 30 animals killed in german zoo blaze
1186102,20200102,fire victims family outraged at fake online fundraiser
1186103,20200102,fires lake conjola hero brett cripps home burn down boat rescue
1186104,20200102,fires nsw batlow rfs leave tumut kosciuszko evacuation
1186105,20200102,ghan land acquisition contingency
1186106,20200102,ghan plans revealed in john howard government documents
1186107,20200102,gold price rises amid global uncertainty and economic slowdown
1186108,20200102,group of cobargo residents vent anger at pm youre not welcome
1186109,20200102,hindley street nightclub slammed over sexual harassment response
1186110,20200102,house prices finish out 2019 higher sydney melbourne lead gains
1186111,20200102,indonesia jakarta flooding victims indundated heavy rains
1186112,20200102,iraqi protesters withdraw from us embassy in baghdad
1186113,20200102,jakarta flooding kills at least 20 people thousands evacuate
1186114,20200102,katie visco ran across australia
1186115,20200102,massive queues at petrol stations after people told to leave
1186116,20200102,meteorologist describes why forecast conditions are so dangerous
1186117,20200102,metung cfa captain tells the town to evacuate
1186118,20200102,murder charge and riots at arukun extra police flown in
1186119,20200102,navy ship arrives in mallacoota to offer relief to evacuees
1186120,20200102,netanyahu seeks immunity from israeli corruption charges
1186121,20200102,nsw bushfires evacuations batemans bay princes highway
1186122,20200102,nsw bushfires roadblocks cause regret and dismay
1186123,20200102,nsw rural fire service declares tourist leave zone south coast
1186124,20200102,nsw rural fire service is urging tourists in towns to leave
1186125,20200102,nsw vic bushfires updates emergency updates as it happened
1186126,20200102,palau bans coral reef toxic sunscreen in world first
1186127,20200102,pawternity leave paid leave new pets for brisbane brewery staff
1186128,20200102,people passing through bega describe the fires
1186129,20200102,quiz what scat
1186130,20200102,scott morrison responds to unwelcome reception in cobargo
1186131,20200102,scott morrison urges patience and calm to deal with bushfires
1186132,20200102,silent heart attack scar tissue pig study
1186133,20200102,swarms of mouse sized microbats in your backyard
1186134,20200102,swearing in public is illegal unlikely to be charged if white
1186135,20200102,tassie trips to escape the tourism trail
1186136,20200102,the one question every female sport presenter has been asked
1186137,20200102,the prime minister says the federal government is
1186138,20200102,thousands of people are waiting for evacuations
1186139,20200102,us firefighters arrive in australia to help efforts
1186140,20200102,whats going on with americas mayor rudy giuliani
1186141,20200102,when his afl dream died jake edwards mental health collapsed
1186142,20200102,when it gets smoky were coming off paine test bushfires
1186143,20200102,youre not welcome cobargo residents vent anger at pm
1186144,20200103,afghan family defend lake conjola homes from nsw bushfires
1186145,20200103,asx australian shares 2020 surge flood record low interest rates
